%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.transform.translation.x,field.transform.translation.y,field.transform.translation.z,field.transform.rotation.x,field.transform.rotation.y,field.transform.rotation.z,field.transform.rotation.w
1646151456988501033,12249,1646151456978647549,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05908343588141413,0.06211727947285676,0.06908653883964862,0.004469456471768689,-0.0027431937055706784,0.2425581579250353,0.9701226926895146
1646151456989242147,12250,1646151456980701030,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05915813251691502,0.06210110022607642,0.06918303628847797,-0.00038772593285969217,-0.00406204466199083,0.2432073387096737,0.9699657415906621
1646151456999977436,12251,1646151456983509392,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05918312697977444,0.06212933721902275,0.06908329091896466,0.0016525507479143381,-0.004113645737911447,0.24369360930402628,0.9698421375559763
1646151457003400827,12252,1646151456986443349,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05917516608856483,0.06220064021923476,0.06917697526533241,0.002642929223276694,-0.003648444675733752,0.2435799291540572,0.9698703634454829
1646151457006530062,12253,1646151456996297006,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05912582151954893,0.0620819086303307,0.06918389739532341,-0.00020561876545988552,-0.004277281269718542,0.24464096904432067,0.969604279513513
1646151457010484086,12254,1646151456998920722,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05908414969511768,0.06217766855089989,0.06903569409803742,0.0007656567583405447,-0.003913208000001396,0.24509337324641756,0.9694912784360514
1646151457011279732,12255,1646151457000682775,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.0591528971649757,0.06226507377836753,0.06914912562872902,0.003008176172781544,-0.003446523402178792,0.24440827122323533,0.9696616261924678
1646151457014009368,12256,1646151457003142617,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.059137219901782404,0.06210115058738542,0.06917084701192516,0.004318028565989826,-0.003135888574903694,0.24437369296363387,0.9696664473000315
1646151457015151664,12257,1646151457005594633,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.059021837899971334,0.06217784165362164,0.06874233491130387,0.0008388549770022077,-0.004006890296585726,0.24506556660508125,0.9694978644726399
1646151457017103824,12258,1646151457008213656,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05903662309458063,0.062123235984106795,0.06915296586561118,0.00049251838308857,-0.004907588060111636,0.24499904001148262,0.9695107752874779
1646151457020277053,12259,1646151457010791192,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05910166406717442,0.06216752365109049,0.06917988268566064,0.0007887634382206045,-0.0045796930030637065,0.2451390236661045,0.9694767987632634
1646151457021638936,12260,1646151457012918467,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05909937941665534,0.0622027541989785,0.06904626503701995,0.0006449588228896691,-0.003899086180859457,0.24507615362023227,0.9694957762062625
1646151457024898574,12261,1646151457015833155,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05888878130365692,0.06228335382333057,0.0692010134634277,0.0044368912545963615,-0.0030579075073952694,0.24447390852740097,0.9696408980890849
1646151457028963683,12262,1646151457018319336,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.058891043679908724,0.06224187937095471,0.06929869467145555,0.007081637677127832,-0.002336079436983797,0.244495208056231,0.9696218264757731
1646151457036382675,12263,1646151457022512752,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05898709048147514,0.06223722454180475,0.0687375387048663,0.0014438886928063422,-0.0039408747382463265,0.24476814915271972,0.9695725541969988
1646151457036691850,12264,1646151457023754954,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.0590148572673519,0.06218884422705798,0.06901237500114188,-0.000505103110624096,-0.005126358674679036,0.2443229894756336,0.9696802267403805
1646151457039744671,12265,1646151457026100963,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.058992860277064636,0.062239336400704656,0.06904259570363716,0.0002016534943578907,-0.004951623967944082,0.24436924364506923,0.9696695898687785
1646151457043494015,12266,1646151457030975528,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.059074573594846,0.06223935579490481,0.06912719735251902,0.0037029938781585883,-0.003030885789636454,0.2429513267695505,0.970026677153048
1646151457045839513,12267,1646151457035854423,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05909347084654062,0.06214858524787004,0.06913219515067974,0.003850882963746433,-0.0034577034018866107,0.24231930950242545,0.9701827493982007
1646151457048804035,12268,1646151457038387110,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05907628131662947,0.062159531240772364,0.06910353587063374,0.000997144006430036,-0.004446703102631434,0.24190246223068776,0.9702898697307306
1646151457051648538,12269,1646151457040573030,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05884814423230054,0.06210839761979015,0.0694060296544667,0.004688233009562501,-0.004187310942932621,0.24160745569091083,0.9703537108976704
1646151457053765555,12270,1646151457043308764,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05907497620458547,0.06227620113291324,0.06911711713145206,0.0019936270227313754,-0.0038372222190113576,0.24046569859267122,0.9706480046738234
1646151457055249175,12271,1646151457045847688,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05902298775991947,0.062319917628618854,0.06909866930612268,0.0033511873559321195,-0.0033981080352109886,0.23954472672493887,0.9708735995500963
1646151457057534776,12272,1646151457050494538,/vicon/world,vicon/Explorer_M2/Explorer_M2,0.05895634071672699,0.06231586286278517,0.06910866735832763,0.003704955401096277,-0.003381691824093811,0.23785027123673885,0.971288878726866
