TIME	X_REF	Y_REF	Z_REF	QW_REF	QX_REF	QY_REF	QZ_REF	VX_REF	VY_REF	VZ_REF	AVX_REF	AVY_REF	AVZ_REF
0.08	7.0942501	1.688491875	0.035036031	0.999981627	-0.001479216	0.002242905	0.005311052	0.071096763	-0.019897373	0.912357429	-0.095572681	0.149946507	0.018270711
0.0825	7.094443948	1.688447047	0.037351818	0.999980791	-0.001594354	0.002440961	0.005345709	0.070760723	-0.020274655	0.921556511	-0.100518589	0.140085338	0.023573287
0.085	7.094633528	1.688400731	0.039693324	0.999979877	-0.001706332	0.002656025	0.005380638	0.070359732	-0.020625789	0.930446226	-0.103322126	0.129209427	0.028292255
0.0875	7.094819778	1.688352962	0.042058527	0.999978892	-0.001818849	0.002877365	0.005418335	0.069920006	-0.020956976	0.939014621	-0.103397713	0.116555592	0.032315253
0.09	7.095002836	1.688305522	0.044444125	0.999977886	-0.001926757	0.003092243	0.005458057	0.069472417	-0.021258304	0.947254201	-0.099852062	0.107099866	0.033577327
0.0925	7.095182422	1.688259698	0.046847397	0.999976876	-0.002028785	0.003295037	0.005500061	0.069034313	-0.021527876	0.955162784	-0.092137062	0.098662163	0.031824184
0.095	7.095359574	1.688215358	0.049266604	0.999975881	-0.002126904	0.003479225	0.005545026	0.068623846	-0.02177076	0.962742163	-0.082529983	0.090238625	0.027853889
0.0975	7.095536077	1.688172391	0.051699913	0.999974956	-0.002217121	0.003634062	0.005592472	0.06826616	-0.021980941	0.969997596	-0.073828931	0.080359723	0.022700634
0.1	7.095713286	1.688130539	0.054146758	0.999974168	-0.002293267	0.003753813	0.005637396	0.067975469	-0.022147488	0.97693832	-0.065938523	0.065396857	0.016828731
0.1025	7.095891699	1.688089955	0.056606869	0.999973584	-0.002348193	0.003833147	0.005675558	0.0677635	-0.022257398	0.983576197	-0.060618301	0.050195897	0.013142243
0.105	7.09607173	1.688050623	0.059079468	0.999973232	-0.002383414	0.003870605	0.005702861	0.067632623	-0.022314326	0.989925132	-0.055124278	0.032829512	0.011596137
0.1075	7.096255005	1.688012171	0.061564717	0.999973133	-0.002403682	0.003862833	0.005716279	0.067587348	-0.022328372	0.995999938	-0.04743737	0.010595512	0.012320609
0.11	7.096443272	1.687973952	0.06406302	0.999973244	-0.002416716	0.003810007	0.005719771	0.067623738	-0.022316344	1.001816589	-0.039847009	-0.008340415	0.014511997
0.1125	7.096636206	1.687935901	0.066573363	0.999973546	-0.002424378	0.003708883	0.005717614	0.067744206	-0.022283192	1.007391295	-0.031079261	-0.027188105	0.017403425
0.115	7.096833461	1.687898189	0.06909501	0.99997402	-0.00242609	0.003559412	0.005712531	0.067945101	-0.022228216	1.012740926	-0.020038349	-0.050156468	0.021002266
