%time,field.ax,field.ay,field.az,field.gx,field.gy,field.gz
1644287552413148977,-0.03999999910593033,-0.019999999552965164,0.10999999940395355,0.0625,0.3125,-0.125
1644287552424489387,-0.05000000074505806,-0.019999999552965164,0.07999999821186066,0.0,0.0,0.0
1644287552440900435,-0.03999999910593033,-0.029999999329447746,0.09000000357627869,0.0625,0.1875,-0.0625
1644287552453287719,-0.03999999910593033,0.0,0.07000000029802322,0.0,0.0,0.0
1644287552453395163,-0.05000000074505806,0.0,0.10000000149011612,-0.0625,0.0625,-0.1875
1644287552463489971,-0.05000000074505806,-0.009999999776482582,0.07999999821186066,0.0,-0.0625,0.0
1644287552473201930,-0.03999999910593033,-0.019999999552965164,0.09000000357627869,-0.125,-0.125,-0.0625
1644287552494339836,-0.029999999329447746,-0.009999999776482582,0.07999999821186066,-0.0625,0.125,0.0625
1644287552494348228,-0.029999999329447746,0.0,0.05999999865889549,0.0625,-0.125,0.0
1644287552504054942,-0.05999999865889549,-0.019999999552965164,0.05999999865889549,-0.0625,-0.25,0.125
1644287552522218202,-0.029999999329447746,-0.019999999552965164,0.07999999821186066,-0.0625,-0.125,-0.125
1644287552523889115,-0.03999999910593033,-0.029999999329447746,0.07000000029802322,-0.0625,-0.1875,0.0625
1644287552533203039,-0.029999999329447746,-0.019999999552965164,0.07999999821186066,-0.1875,0.0,-0.125
1644287552560038449,-0.029999999329447746,0.0,0.05999999865889549,-0.1875,0.0,-0.125
1644287552560071279,-0.03999999910593033,-0.009999999776482582,0.07000000029802322,-0.0625,0.1875,-0.0625
1644287552564343188,-0.029999999329447746,-0.009999999776482582,0.07000000029802322,0.0,0.125,0.0625
1644287552580601878,-0.029999999329447746,-0.029999999329447746,0.09000000357627869,0.0,0.1875,-0.125
1644287552591915843,-0.03999999910593033,-0.009999999776482582,0.07000000029802322,0.125,0.25,-0.0625
1644287552605348167,-0.05000000074505806,0.0,0.05999999865889549,-0.125,-0.0625,-0.1875
1644287552605455351,-0.029999999329447746,-0.029999999329447746,0.05999999865889549,0.0625,0.125,-0.0625
1644287552617045921,-0.029999999329447746,0.0,0.05999999865889549,0.0,0.1875,-0.0625
1644287552623095217,-0.029999999329447746,-0.019999999552965164,0.07000000029802322,-0.0625,0.0,-0.0625
1644287552633017375,-0.029999999329447746,-0.009999999776482582,0.07999999821186066,0.0,0.25,-0.1875
1644287552644203170,-0.05000000074505806,0.0,0.09000000357627869,0.0625,0.0,0.0
1644287552654037785,-0.03999999910593033,-0.009999999776482582,0.07000000029802322,0.0625,0.0,0.0
1644287552668464138,-0.03999999910593033,0.0,0.05999999865889549,-0.0625,-0.125,0.0
1644287552673605072,-0.029999999329447746,0.0,0.07999999821186066,0.0,0.1875,-0.0625
1644287552686589486,-0.029999999329447746,-0.019999999552965164,0.07000000029802322,-0.0625,0.0,0.0
1644287552694740154,-0.05000000074505806,-0.009999999776482582,0.07000000029802322,0.0625,0.125,-0.0625
1644287552707156127,-0.029999999329447746,-0.009999999776482582,0.07000000029802322,0.0625,0.0625,0.0
1644287552714468018,-0.05999999865889549,0.0,0.07999999821186066,0.1875,0.25,0.0625
1644287552722880099,-0.05999999865889549,0.0,0.10000000149011612,0.0625,0.125,-0.125
1644287552736918742,-0.05999999865889549,-0.029999999329447746,0.10000000149011612,0.0625,0.125,-0.125
1644287552746330333,-0.029999999329447746,-0.019999999552965164,0.07000000029802322,0.1875,-0.0625,-0.0625
1644287552752982260,-0.029999999329447746,-0.009999999776482582,0.07999999821186066,-0.0625,0.0,0.0625
1644287552763465220,-0.029999999329447746,0.0,0.09000000357627869,-0.0625,-0.0625,-0.0625
1644287552774358700,-0.05999999865889549,-0.029999999329447746,0.05999999865889549,0.0,-0.0625,0.0
1644287552783047091,-0.03999999910593033,0.0,0.10000000149011612,0.0625,0.1875,0.0
1644287552793191585,-0.03999999910593033,-0.019999999552965164,0.05999999865889549,0.0625,-0.0625,0.125
