t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8,mu_9,nu_9,tau_9,mu_10,nu_10,tau_10,mu_11,nu_11,tau_11,mu_12,nu_12,tau_12,mu_13,nu_13,tau_13,mu_14,nu_14,tau_14,mu_15,nu_15,tau_15,mu_16,nu_16,tau_16,mu_17,nu_17,tau_17,mu_18,nu_18,tau_18,mu_19,nu_19,tau_19
0.518351,-4.496366025,4.137500451,1.536683267,0.887392904,0.224479713,0.395202085,-0.078134459,3.058270299,-1.784314323,0.523489907,-5.178274755,-5.178117002,0.299997889,8.093300125,-5.871313917,-0.141885683,201.2516585,-1.444857908,-11.57509348,3.203082447,2.729013643,2.528637919,3.396259901,0.99837275,0.000181174,0.045134269,0.999506403,5.15E-05,0.052823199,0.999634156,3.83E-05,0.045132756,0.999649341,3.70E-05,0.044996685,0.999664759,3.57E-05,0.04499591,0.999680448,3.43E-05,0.044996467,0.999696312,3.28E-05,0.044902542,0.999712589,3.13E-05,0.04498293,0.999729253,2.96E-05,0.045001836,0.999746295,2.79E-05,0.045005749,0.999763499,2.63E-05,0.044994206,0.999781285,2.46E-05,0.044993536,0.999799767,2.28E-05,0.044993956,0.999818951,2.08E-05,0.04490126,0.999839253,1.87E-05,0.044981273,0.999860855,1.63E-05,0.04499719,0.999884108,1.37E-05,0.044998139,0.99990948,1.09E-05,0.044991747,0.99993889,7.51E-06,0.04499102,0.999977819,2.89E-06,0.044991176
0.570186,-4.326327227,4.037111398,1.563085304,0.932679404,0.215692086,0.270528043,-0.102906982,3.477787267,-2.088654428,0.51613525,5.253623761,-5.253011347,-0.299998163,4.595483638,-6.746251285,1.576077673,-204.1596498,-1.104587047,11.57509804,2.745104123,3.228864062,3.423193413,2.54588014,0.998181909,0.000190841,0.045143848,0.999453747,5.27E-05,0.053141474,0.999594971,3.92E-05,0.045129956,0.999611439,3.79E-05,0.044996663,0.999628202,3.66E-05,0.044995885,0.999645302,3.51E-05,0.044996222,0.999662613,3.37E-05,0.04490279,0.999680447,3.21E-05,0.04498195,0.999698764,3.05E-05,0.045001993,0.999717551,2.87E-05,0.045006011,0.999736401,2.71E-05,0.044994137,0.999755951,2.53E-05,0.044993457,0.999776326,2.34E-05,0.04499369,0.999797507,2.14E-05,0.044901479,0.999820018,1.92E-05,0.044980265,0.999844046,1.68E-05,0.044997165,0.999869978,1.41E-05,0.044998112,0.999898252,1.12E-05,0.044991597,0.999931129,7.76E-06,0.044990859,0.999974817,3.00E-06,0.044990838
0.622021,-4.139125471,3.91965637,1.591576696,0.96056987,0.196476926,0.142234153,-0.136764903,3.715994591,-2.438346994,0.597831383,-5.329010756,-5.310267719,0.299998126,1.463983243,-4.851749889,3.368160512,207.0676379,-1.80937267,-11.57509961,3.258128798,2.764671361,2.56311566,3.450126484,0.997979141,0.000202768,0.04515679,0.999399847,5.39E-05,0.053502769,0.999554715,4.03E-05,0.045128132,0.999572499,3.89E-05,0.044996632,0.999590629,3.76E-05,0.044995846,0.999609158,3.61E-05,0.044995916,0.999627934,3.47E-05,0.04490436,0.999647344,3.31E-05,0.044980745,0.999667332,3.14E-05,0.045002168,0.999687917,2.96E-05,0.045006266,0.999708474,2.79E-05,0.044994042,0.999729847,2.61E-05,0.04499335,0.99975217,2.42E-05,0.044993357,0.999775406,2.21E-05,0.044903011,0.999800192,1.98E-05,0.044979024,0.999826713,1.73E-05,0.044997126,0.999855414,1.46E-05,0.044998065,0.999886687,1.16E-05,0.044991414,0.999923128,8.00E-06,0.044990664,0.999971706,3.11E-06,0.044990434
0.673856,-3.943710945,3.786525835,1.626917524,0.971577502,0.178091424,0.006450729,-0.156706738,3.791880299,-2.689837903,0.772420298,5.404359595,-5.404056721,-0.299998244,-2.704358249,-4.856434279,3.277098938,-209.9755602,-1.458652333,11.57510273,2.78072578,3.283874085,3.477058474,2.580356676,0.997762004,0.000217137,0.045173618,0.999344635,5.52E-05,0.053888875,0.999513262,4.15E-05,0.045126964,0.999532415,4.01E-05,0.044996582,0.999551952,3.87E-05,0.044995789,0.999571932,3.72E-05,0.044995557,0.999592199,3.57E-05,0.044907576,0.999613205,3.41E-05,0.044979293,0.999634875,3.25E-05,0.045002374,0.999657317,3.06E-05,0.045006521,0.999679669,2.88E-05,0.044993918,0.99970294,2.69E-05,0.044993215,0.999727276,2.49E-05,0.044992965,0.999752637,2.28E-05,0.04490618,0.999779769,2.04E-05,0.044977531,0.999808847,1.79E-05,0.04499708,0.999840413,1.50E-05,0.044998002,0.99987479,1.19E-05,0.044991196,0.999914892,8.24E-06,0.044990438,0.999968488,3.22E-06,0.044989971
0.725691,-3.749957883,3.640252624,1.671412442,0.962086545,0.152704627,-0.128761597,-0.186590655,3.651699636,-2.941571627,0.942289028,-5.479743181,-5.479666101,0.299998287,-5.932325341,-2.08576723,3.056655728,212.8836563,-1.454884585,-11.57510487,3.31077512,2.797933252,2.597594257,3.50398969,0.997527979,0.000234025,0.045194834,0.999288126,5.65E-05,0.054276033,0.999470528,4.27E-05,0.04512611,0.999491121,4.13E-05,0.044996505,0.999512111,3.98E-05,0.044995711,0.999533573,3.84E-05,0.044995157,0.999555359,3.68E-05,0.044912376,0.999577979,3.52E-05,0.044977586,0.999601333,3.35E-05,0.045002625,0.999625692,3.16E-05,0.045006781,0.999649951,2.97E-05,0.044993764,0.999675211,2.77E-05,0.044993053,0.999701634,2.56E-05,0.044992527,0.999729197,2.34E-05,0.044910925,0.999758747,2.10E-05,0.044975779,0.999790449,1.84E-05,0.044997037,0.999824977,1.54E-05,0.044997927,0.999862567,1.22E-05,0.044990943,0.999906427,8.46E-06,0.044990184,0.999965169,3.32E-06,0.044989465
0.777526,-3.567866154,3.484591176,1.724658764,0.934939721,0.125222246,-0.265886417,-0.199711812,3.344196998,-3.049687566,1.100731063,5.555101029,-5.555080179,-0.299998355,-9.621215811,-1.500886794,0.828669837,-215.791289,-1.451803674,11.57473603,2.815141218,3.337681289,3.5309174,2.614836304,0.997274658,0.000253321,0.04522076,0.999230421,5.77E-05,0.054636955,0.999426488,4.40E-05,0.045125207,0.999448597,4.25E-05,0.04499639,0.999471091,4.10E-05,0.044995606,0.999494061,3.95E-05,0.044994735,0.999517398,3.80E-05,0.044918308,0.999541643,3.63E-05,0.044975633,0.999566677,3.47E-05,0.045002932,0.999593016,3.27E-05,0.04500705,0.99961931,3.06E-05,0.044993577,0.999646656,2.86E-05,0.044992867,0.999675243,2.64E-05,0.044992066,0.999705091,2.41E-05,0.044916797,0.999737131,2.16E-05,0.044973781,0.999771522,1.89E-05,0.044997005,0.999809111,1.59E-05,0.044997846,0.999850028,1.25E-05,0.04499066,0.999897739,8.69E-06,0.044989907,0.999961749,3.42E-06,0.044988935
0.829361,-3.406803103,3.324060835,1.783349085,0.885539716,0.095411963,-0.396945293,-0.222651706,2.845480378,-3.127486174,1.143685241,-5.630460591,-5.630334558,0.299979169,-10.63229372,2.053534469,0.022287266,46.55693288,218.6967763,0.000345172,2.82577236,2.670551785,3.402636252,3.557845091,0.997000014,0.000274644,0.045251325,0.999171707,5.87E-05,0.054943928,0.999381185,4.53E-05,0.045123889,0.999404874,4.37E-05,0.044996232,0.999428911,4.22E-05,0.044995471,0.999453411,4.06E-05,0.044994318,0.999478324,3.91E-05,0.044924727,0.999504203,3.74E-05,0.044973475,0.999530912,3.58E-05,0.04500331,0.999559305,3.37E-05,0.045007331,0.999587758,3.16E-05,0.04499336,0.999617289,2.94E-05,0.044992657,0.999648117,2.71E-05,0.044991608,0.999680329,2.48E-05,0.044923153,0.999714934,2.22E-05,0.044971577,0.99975208,1.94E-05,0.044996994,0.999792831,1.63E-05,0.044997766,0.999837181,1.28E-05,0.044990351,0.999888834,8.91E-06,0.04498961,0.999958233,3.52E-06,0.044988409
0.881197,-3.273894263,3.164051084,1.842459251,0.89152147,-0.00726412,-0.368158427,-0.26462468,2.29435444,-3.021041023,1.144840504,-3.217177626,5.705833271,0.299997061,-8.047925399,3.621280671,3.42022282,-49.4648419,-4.676273174,-11.57505818,3.223154895,3.58478487,3.372122223,3.404044227,0.996702742,0.000297272,0.045285799,0.999112237,5.95E-05,0.055175474,0.999334734,4.65E-05,0.045121836,0.999360026,4.48E-05,0.04499603,0.999385623,4.33E-05,0.044995306,0.999411667,4.17E-05,0.044993938,0.99943817,4.02E-05,0.044931003,0.999465688,3.85E-05,0.044971184,0.999494079,3.68E-05,0.045003765,0.999524615,3.47E-05,0.045007618,0.999555334,3.24E-05,0.044993116,0.999587136,3.02E-05,0.044992429,0.999620278,2.78E-05,0.044991184,0.99965493,2.54E-05,0.044929364,0.999692169,2.28E-05,0.044969243,0.999732144,1.99E-05,0.044997011,0.999776158,1.67E-05,0.044997695,0.999824037,1.31E-05,0.044990024,0.999879717,9.12E-06,0.044989301,0.999954623,3.61E-06,0.044987918
0.933032,-3.166920699,3.012140359,1.905760902,0.928566511,-0.073746976,-0.203118487,-0.302501587,1.877189475,-2.833331601,1.322128073,-5.781192327,5.463438214,-0.299997161,-2.941117443,3.27835075,4.125355788,224.5151107,-15.12314205,11.57505413,3.611721562,2.666655859,2.811663751,3.363177613,0.996382104,0.000320638,0.045323497,0.999052239,6.00E-05,0.055337717,0.99928728,4.75E-05,0.045118952,0.999314156,4.59E-05,0.044995798,0.999341301,4.43E-05,0.044995129,0.999368889,4.28E-05,0.04499361,0.999396972,4.12E-05,0.044936655,0.999426129,3.96E-05,0.044968822,0.999456217,3.79E-05,0.045004304,0.999489034,3.56E-05,0.045007902,0.999522093,3.32E-05,0.044992859,0.999556236,3.09E-05,0.0449922,0.99959176,2.85E-05,0.044990811,0.999628908,2.60E-05,0.044934952,0.999668855,2.33E-05,0.044966839,0.999711734,2.04E-05,0.044997053,0.999759118,1.70E-05,0.044997636,0.999810606,1.34E-05,0.044989693,0.999870392,9.32E-06,0.044988996,0.999950922,3.70E-06,0.044987478
0.984867,-3.074222923,2.870167829,1.979579364,0.945299187,-0.030685935,-0.080624725,-0.315361435,1.724736378,-2.663397983,1.535966276,5.856569407,4.679528734,0.299996851,-1.912869706,-1.502083225,6.369147288,1.452625331,24.16090233,-11.5750559,3.361334549,3.553414543,3.437183456,3.638655363,0.99603689,0.000345214,0.045365546,0.998991839,6.04E-05,0.055461033,0.999238927,4.84E-05,0.045115514,0.999267353,4.68E-05,0.044995546,0.999296017,4.53E-05,0.044994958,0.999325121,4.38E-05,0.044993317,0.999354751,4.22E-05,0.044941627,0.999385531,4.06E-05,0.044966341,0.999417312,3.89E-05,0.045004941,0.999452625,3.64E-05,0.045008178,0.999488094,3.40E-05,0.044992594,0.999524634,3.16E-05,0.044991981,0.99956259,2.92E-05,0.044990472,0.999602277,2.66E-05,0.044939858,0.999645005,2.38E-05,0.044964314,0.99969086,2.09E-05,0.04499711,0.999741734,1.74E-05,0.044997584,0.999796899,1.37E-05,0.044989364,0.999860866,9.53E-06,0.044988708,0.999947132,3.79E-06,0.044987072
