t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8,mu_9,nu_9,tau_9,mu_10,nu_10,tau_10,mu_11,nu_11,tau_11,mu_12,nu_12,tau_12,mu_13,nu_13,tau_13,mu_14,nu_14,tau_14,mu_15,nu_15,tau_15,mu_16,nu_16,tau_16,mu_17,nu_17,tau_17,mu_18,nu_18,tau_18,mu_19,nu_19,tau_19
11.4037,2.524239091,-2.946254563,1.57358515,0.804378677,-0.425294835,0.069427846,-0.504190222,2.113923454,5.247855806,-0.431181031,-14.99999775,14.99999411,-0.299999796,21.36156903,6.847578025,8.391557664,578.75841,8.00E-06,11.57516162,6.876660704,4.750694606,4.943972395,6.676382997,0.018378215,0.000124785,0.044963299,0.030781534,5.91E-05,0.045022963,0.033106818,0.000180895,0.045084345,0.034137925,0.000142025,0.045109085,0.035838548,0.000145031,0.04508694,0.977340696,0.00103578,0.04728872,0.987771432,7.92E-05,0.045357451,0.988384141,8.92E-05,0.044957608,0.989605864,7.35E-05,0.059089435,0.989690929,9.00E-05,0.044993383,0.989781434,0.000109922,0.045019106,0.99000615,0.000116705,0.045021157,0.990988196,7.32E-05,0.044898323,0.991883048,5.65E-05,0.045010707,0.99252851,5.83E-05,0.044953369,0.993682965,5.12E-05,0.045009611,0.994104127,5.26E-05,0.044984885,0.994664718,4.77E-05,0.044990634,0.995836184,3.34E-05,0.044987116,0.997876221,1.82E-05,0.044892254
11.4556,2.661175642,-2.660244697,1.562293999,0.693625748,-0.204131222,0.347585917,-0.666492714,3.22120238,5.602800653,0.003796145,14.99999849,14.99999452,0.299999788,15.41064215,-15.56904178,9.07531353,-578.7584058,-4.90E-06,-11.57516146,4.752998637,6.878964718,6.678686971,4.94627638,0.018254485,0.000123731,0.044964229,0.030718845,6.27E-05,0.045025078,0.032921543,0.000185275,0.045085763,0.034004717,0.000133208,0.04509814,0.035702739,0.000135809,0.045078897,0.976063555,0.001277142,0.048393075,0.987689469,8.20E-05,0.045380835,0.988291907,9.22E-05,0.044959121,0.989528237,7.76E-05,0.060377397,0.989597409,9.35E-05,0.044993571,0.989668781,0.000112652,0.045029449,0.989891111,0.000115039,0.045026189,0.99091475,7.34E-05,0.044873735,0.991824758,5.83E-05,0.045010936,0.99246916,5.93E-05,0.04495454,0.993629403,5.36E-05,0.045009619,0.994050519,5.36E-05,0.044984452,0.994616856,4.79E-05,0.044991784,0.995802919,3.33E-05,0.044988182,0.997857908,1.83E-05,0.04486775
11.5074,2.850218815,-2.386562632,1.577027554,0.541549704,0.079587832,0.595281717,-0.6593412,4.020014455,4.795777918,0.474215869,-14.99999753,14.99999427,-0.299999788,1.97395093,-4.897082489,-9.967435158,578.7583971,-3.48E-05,11.57516159,2.126012021,4.60E-05,0.193323612,1.925734172,0.018132443,0.000122042,0.044966469,0.030651963,6.69E-05,0.045027623,0.032729191,0.000192352,0.045089363,0.033880857,0.000123861,0.04508693,0.035576987,0.000125752,0.045070257,0.974421116,0.001642438,0.050443394,0.987605361,8.41E-05,0.045399465,0.988196604,9.53E-05,0.04496201,0.989445865,8.24E-05,0.061847426,0.989500568,9.68E-05,0.044993272,0.989555663,0.000113118,0.045042994,0.989780268,0.000110843,0.045029879,0.990841145,7.36E-05,0.044836662,0.991765133,5.96E-05,0.04501104,0.99240879,6.04E-05,0.044957015,0.993573168,5.62E-05,0.04500959,0.993995668,5.49E-05,0.044983734,0.994569088,4.78E-05,0.044992991,0.995769868,3.31E-05,0.044989341,0.997839486,1.84E-05,0.044830768
11.5592,3.061822878,-2.144345614,1.588892919,0.242942749,0.295510558,0.758386524,-0.606705105,4.122334386,4.541937189,-0.042447063,14.99999804,14.99999247,0.299999795,-1.688550241,-4.115670232,-11.54795325,-578.7584025,4.90E-05,-0.000236199,0.000317025,1.918996893,1.91899297,0.000321132,0.018012615,0.000119827,0.044969535,0.030580659,7.13E-05,0.045030393,0.032528123,0.000201068,0.045094452,0.033765738,0.000115118,0.045076915,0.035460503,0.000116484,0.045062621,0.972247014,0.002174102,0.054108419,0.987519799,8.56E-05,0.045411905,0.988098218,9.84E-05,0.044965814,0.989358506,8.74E-05,0.063358232,0.989401215,9.94E-05,0.044992479,0.989443775,0.000111889,0.045060414,0.989674428,0.00010584,0.045032381,0.990767506,7.36E-05,0.044782963,0.991704698,6.04E-05,0.045011008,0.992347471,6.13E-05,0.044960319,0.993514271,5.89E-05,0.045009448,0.993939448,5.62E-05,0.044982851,0.994521567,4.75E-05,0.044994129,0.995737072,3.28E-05,0.044990417,0.997820957,1.85E-05,0.044777164
11.6111,3.273770879,-1.914864108,1.571644349,-0.028568175,0.545422859,0.776233882,-0.435129591,4.034808226,4.328601038,-0.641036299,-14.99999781,14.99999501,0.299987552,-1.083799383,-2.141085478,-14.53454587,-2.96E-06,-578.7583549,-11.5743744,1.932722862,2.12598749,3.52E-05,0.200299345,0.017895364,0.000117251,0.044972876,0.030504643,7.60E-05,0.045033435,0.032318115,0.000210008,0.045100085,0.033658599,0.00010714,0.045068192,0.035352146,0.000108357,0.04505623,0.96925571,0.002991304,0.060567786,0.987433055,8.67E-05,0.045421854,0.987996689,0.00010153,0.044970007,0.98926585,9.27E-05,0.064909226,0.989300284,0.000100931,0.044991419,0.989334522,0.000109252,0.04508176,0.989573642,0.000100786,0.045033948,0.990693934,7.36E-05,0.044701086,0.991643674,6.10E-05,0.045010912,0.992285262,6.22E-05,0.044963908,0.993452707,6.16E-05,0.045009185,0.993881808,5.76E-05,0.044981967,0.994474429,4.71E-05,0.044995177,0.995704552,3.25E-05,0.04499137,0.997802325,1.86E-05,0.044695388
11.6629,3.480641978,-1.693637385,1.519197029,0.202726936,0.552036373,0.856176938,-0.110391719,3.978629384,4.217617673,-1.394435842,-14.99999797,-14.99999838,-0.299971227,2.140195453,-2.939755614,-12.99339605,578.7583903,3.71E-06,-0.000551006,1.93971064,4.49E-05,3.57E-05,1.939720186,0.017780985,0.000114379,0.044976233,0.030423597,8.10E-05,0.045036776,0.0320994,0.000218714,0.045106034,0.033558699,9.99E-05,0.045060633,0.035250873,0.000101274,0.045050902,0.964907744,0.004347966,0.070244941,0.987345297,8.78E-05,0.045430234,0.987891966,0.000104722,0.044974362,0.989167555,9.83E-05,0.066485878,0.989198354,0.00010193,0.044990286,0.989228975,0.000105547,0.045105551,0.989477701,9.59E-05,0.045034799,0.990620513,7.34E-05,0.044567113,0.991582204,6.15E-05,0.04501077,0.99222223,6.30E-05,0.044967534,0.993388493,6.42E-05,0.045008793,0.993822717,5.91E-05,0.044981137,0.994427802,4.66E-05,0.044996131,0.99567232,3.22E-05,0.044992208,0.997783593,1.87E-05,0.044561535
11.7147,3.689554548,-1.478439272,1.428842843,0.516691112,0.503488685,0.692289499,-0.303190312,4.089566615,4.065235166,-2.06794974,14.99999725,-14.99999819,-0.299999788,1.319454877,-5.127291004,-9.635607189,-578.7583964,-2.75E-06,11.5751616,0.19332317,1.925733728,2.126011451,4.54E-05,0.01766984,0.000111145,0.044979586,0.030337081,8.65E-05,0.045040512,0.031871858,0.000227542,0.045112721,0.033465546,9.32E-05,0.045053902,0.035155977,9.49E-05,0.045046282,0.957972823,0.006934921,0.080376404,0.987256743,8.86E-05,0.045436492,0.987784146,0.00010782,0.044978894,0.989063143,0.000104412,0.068100454,0.989095683,0.000102671,0.044989124,0.989128056,0.00010092,0.045127076,0.989386475,9.12E-05,0.04503502,0.990547306,7.32E-05,0.044317618,0.991520466,6.17E-05,0.045010579,0.992158477,6.38E-05,0.044971181,0.993321607,6.69E-05,0.045008266,0.99376212,6.06E-05,0.044980327,0.994381848,4.60E-05,0.044997011,0.995640398,3.19E-05,0.044992968,0.997764763,1.88E-05,0.044312229
11.7666,3.903371615,-1.274621328,1.307795384,0.726233437,0.316131176,0.4691603,-0.495059799,4.157960682,3.799461558,-2.567412338,-14.99999829,-14.99999833,0.299999794,5.067472468,-8.068529685,0.251729387,578.758414,6.11E-07,-11.57516153,3.637256019,1.904845402,1.711567644,3.837533753,0.017562269,0.000107572,0.044982809,0.030244695,9.24E-05,0.045044617,0.031635113,0.000236745,0.045120529,0.033378641,8.69E-05,0.045047952,0.03506687,8.91E-05,0.045042235,0.945236408,0.012736415,0.086847323,0.987167742,8.90E-05,0.045439329,0.987673471,0.000110675,0.044983511,0.988952177,0.000110966,0.069714381,0.988992261,0.000103422,0.04498797,0.989032283,9.58E-05,0.045140588,0.98929978,8.67E-05,0.045034763,0.990474371,7.29E-05,0.043781194,0.991458724,6.17E-05,0.045010326,0.992094131,6.43E-05,0.044974734,0.993252115,6.95E-05,0.045007588,0.993699951,6.22E-05,0.044979512,0.994336717,4.51E-05,0.044997811,0.995608812,3.16E-05,0.044993663,0.997745841,1.89E-05,0.043776284
11.8184,4.126421525,-1.090105939,1.173422591,0.87275548,0.128622979,0.142338387,-0.543078139,4.420633591,3.381228568,-2.554363922,14.99999816,-14.9999983,-0.299999784,-5.233815599,-1.529167394,18.7510099,-578.7583963,4.26E-06,11.57516149,4.946550283,6.678960842,6.879238587,4.753272537,0.017458531,0.000103737,0.04498578,0.030146158,9.85E-05,0.045048984,0.031388185,0.000246928,0.04513023,0.033297456,8.12E-05,0.045042757,0.034983057,8.38E-05,0.045038655,0.915554342,0.029682066,0.089397815,0.987078816,8.89E-05,0.045437037,0.987560343,0.000113128,0.04498812,0.98883434,0.000117837,0.071276501,0.98888755,0.000104711,0.044986871,0.988941756,9.05E-05,0.045144252,0.989217415,8.24E-05,0.045034153,0.990401761,7.26E-05,0.042375883,0.991397359,6.14E-05,0.045009996,0.992029335,6.48E-05,0.044978077,0.993180208,7.19E-05,0.045006748,0.993636115,6.38E-05,0.04497863,0.994292527,4.42E-05,0.044998526,0.995577587,3.12E-05,0.044994301,0.997726834,1.90E-05,0.042373155
11.8702,4.350520903,-0.921488404,1.066337404,0.834723879,-0.095287148,-0.192042558,-0.592964949,4.14933827,3.301964033,-1.582403572,-14.99999737,-14.99999808,0.299999793,-5.04123472,20.64979345,10.81357541,578.7583878,-1.88E-06,-0.002116279,6.87919166,4.960550124,4.960514778,6.879228266,0.017358535,1.00E-04,0.044988248,0.03004129,0.000104868,0.045053491,0.031130734,0.00025745,0.045141624,0.033221274,7.62E-05,0.045038411,0.03490402,7.90E-05,0.04503553,0.801910076,0.113644266,0.089958515,0.986990339,8.85E-05,0.045431092,0.987444954,0.000115389,0.044992494,0.988709409,0.000124931,0.072752232,0.988779734,0.000107816,0.044986224,0.988856094,8.57E-05,0.045141096,0.989139079,7.83E-05,0.045033352,0.990329529,7.22E-05,0.037956825,0.991336638,6.07E-05,0.045009618,0.991964154,6.52E-05,0.044980956,0.993106176,7.40E-05,0.045005752,0.993570535,6.56E-05,0.04497776,0.994249309,4.32E-05,0.044999137,0.995546739,3.08E-05,0.04499488,0.997707761,1.91E-05,0.037969648
11.9221,4.560037249,-0.725930222,1.002513483,0.731985595,-0.323371363,-0.488186173,-0.465001571,3.888025398,4.372348005,-1.021880881,14.99999772,-14.99999818,0.299890095,-21.1514881,19.52707176,-2.797441086,5.89E-07,578.7583655,0.001926583,4.960559084,4.960525752,6.879236114,6.879203943,0.01726195,9.66E-05,0.04499018,0.029929155,0.000112136,0.045058724,0.030865995,0.000264739,0.045151672,0.033149541,7.17E-05,0.045034707,0.03482942,7.46E-05,0.045032709,0.15211961,0.649790466,0.089998739,0.986901933,8.84E-05,0.045428666,0.987327232,0.000117722,0.044996649,0.988576331,0.000133078,0.074283376,0.988664987,0.000114747,0.044987038,0.988774919,8.12E-05,0.045133914,0.989064593,7.45E-05,0.045032355,0.99025771,7.18E-05,0.032285898,0.991276319,6.03E-05,0.045009277,0.99189858,6.56E-05,0.044983329,0.99302995,7.62E-05,0.045004597,0.993503259,6.73E-05,0.044977296,0.994207091,4.22E-05,0.044999662,0.995516295,3.04E-05,0.044995419,0.997688635,1.91E-05,0.032331541
11.9739,4.736674787,-0.469371082,0.946224656,0.825014322,-0.04909592,-0.609052444,-0.203747949,2.791636036,5.384535594,-1.166886501,14.99999775,14.99999576,0.29998996,-22.53887398,1.953160335,8.538812079,-578.7584059,-3.82E-06,-11.57497177,4.753283573,6.879246602,6.67897214,4.946558152,0.017168511,9.34E-05,0.044991742,0.029807993,0.000121162,0.045065361,0.030601541,0.000264455,0.045155981,0.033081922,6.76E-05,0.045031422,0.034758958,7.05E-05,0.045030145,0.089734822,0.062384788,0.089862603,0.9868126,8.93E-05,0.045435628,0.987207213,0.000120019,0.045000796,0.98843315,0.000143182,0.075957671,0.988537261,0.000127726,0.044990821,0.988698003,7.69E-05,0.045124393,0.988993782,7.08E-05,0.045031219,0.990186251,7.15E-05,0.040237972,0.991215758,6.06E-05,0.045009025,0.991832619,6.60E-05,0.044985355,0.992951204,7.87E-05,0.045003227,0.993434502,6.88E-05,0.044977713,0.994165941,4.12E-05,0.04500012,0.995486285,3.00E-05,0.044995921,0.997669381,1.93E-05,0.040241194
12.0257,4.848168523,-0.186060389,0.893457717,1.003418233,0.000899287,-0.247681116,-0.167973901,1.623331398,5.485777842,-0.724276379,-14.99999828,14.99999556,-0.299999783,-1.73273762,1.935420145,19.22996894,578.758399,1.68E-06,11.57516145,6.879240381,4.753274322,4.946552087,6.678962656,0.017077584,9.09E-05,0.04499283,0.029677253,0.00013074,0.045072209,0.030345414,0.000256127,0.045153568,0.033017596,6.43E-05,0.04502888,0.034691775,6.72E-05,0.045028204,0.070731973,0.019002849,0.088548821,0.986721309,9.13E-05,0.045452378,0.98708415,0.000123063,0.045004994,0.988279156,0.000153994,0.077503935,0.988388446,0.000148815,0.044999883,0.988624546,7.35E-05,0.045115646,0.988925877,6.79E-05,0.04503042,0.990115206,7.10E-05,0.043234318,0.991154319,6.14E-05,0.04500884,0.991766111,6.65E-05,0.044986908,0.992870332,8.09E-05,0.045001662,0.993364565,6.99E-05,0.044979057,0.994125705,4.02E-05,0.045000482,0.995456647,2.96E-05,0.044996325,0.997650034,1.93E-05,0.043230259
12.0776,4.925292552,0.102636324,0.881364292,1.013439434,0.078195347,0.151084109,-0.203232455,1.533514782,5.586100526,0.272510857,14.9999974,14.99999565,0.299999792,15.09120923,-12.54127634,11.78299997,-578.7583965,1.44E-05,-11.57483017,4.753162273,6.879122391,6.678850441,4.946434549,0.01698868,8.89E-05,0.044993606,0.029536494,0.000140759,0.045078901,0.030100619,0.000244795,0.045149165,0.032955967,6.16E-05,0.045026852,0.034627367,6.44E-05,0.045026618,0.061288843,0.00944313,0.084459756,0.986627574,9.37E-05,0.045473961,0.986957367,0.000126783,0.045009571,0.988113694,0.000165462,0.078906204,0.988210406,0.00017804,0.045019405,0.988553956,7.06E-05,0.045107781,0.988860441,6.54E-05,0.045029772,0.990044594,7.06E-05,0.044081742,0.991091746,6.26E-05,0.045008654,0.991698914,6.72E-05,0.044988149,0.992787796,8.25E-05,0.044999933,0.993293623,7.09E-05,0.044980774,0.994086262,3.94E-05,0.045000774,0.99542735,2.93E-05,0.04499667,0.997630607,1.94E-05,0.044076834
12.1294,5.021366379,0.376437012,0.914550286,0.889708096,0.154958782,0.520346456,-0.108835254,2.315769022,4.936022296,0.883283761,-14.99999815,14.99999639,-0.299982611,4.521604399,0.12946404,-7.99481323,2.25E-06,-578.7583629,-0.000142912,1.93977437,1.939776748,9.93E-05,0.000101784,0.016901824,8.69E-05,0.044994348,0.029384831,0.000151663,0.0450855,0.029864835,0.000235784,0.045148117,0.032896891,5.91E-05,0.045024992,0.034565706,6.17E-05,0.04502506,0.055484166,0.005804677,0.077065458,0.986531875,9.57E-05,0.045490813,0.986827446,0.000129921,0.045014761,0.987935542,0.000178152,0.080218952,0.988003148,0.000207258,0.04505967,0.988486112,6.78E-05,0.045099896,0.988797506,6.29E-05,0.045028959,0.989974419,7.02E-05,0.044425433,0.991028413,6.33E-05,0.045008388,0.991631111,6.78E-05,0.044989376,0.992703904,8.39E-05,0.04499803,0.993221605,7.20E-05,0.044982281,0.994047643,3.86E-05,0.045001029,0.99539843,2.89E-05,0.044997008,0.997611104,1.95E-05,0.04442035
12.1812,5.147499296,0.631629936,0.949606965,0.885901333,-0.172952222,0.516113765,0.132992835,2.550146808,4.942733076,0.468871871,-14.99999803,-14.99999741,-0.299990019,14.65545645,13.81212222,12.01628062,578.7583785,7.83E-06,-0.000188479,6.879167319,4.939495157,4.939492035,6.879170606,0.016817333,8.45E-05,0.044995174,0.029221188,0.000163642,0.045091703,0.029635446,0.000229388,0.045150849,0.032840395,5.65E-05,0.045023175,0.034506816,5.89E-05,0.045023502,0.051534109,0.003950057,0.067728728,0.98643499,9.69E-05,0.045499579,0.986696048,0.000131397,0.04502046,0.987743141,0.000192401,0.081447931,0.987776109,0.000227039,0.045137832,0.988421072,6.50E-05,0.045091827,0.988737144,6.04E-05,0.045027965,0.989904681,6.97E-05,0.044605771,0.990964867,6.35E-05,0.045008034,0.991562964,6.81E-05,0.044990718,0.992618939,8.50E-05,0.044995942,0.993148385,7.32E-05,0.04498354,0.994009947,3.77E-05,0.04500126,0.995369934,2.85E-05,0.044997345,0.99759153,1.96E-05,0.044600636
12.2331,5.303147603,0.907559831,0.986789587,1.009502941,-0.088442208,0.148280311,0.224688907,3.309813762,5.658685722,1.091736899,14.99999658,-14.999997,-0.299999789,-1.788056882,-1.542667426,19.32964597,-578.7583863,-7.42E-06,11.57516162,4.946556924,6.678967448,6.879245156,4.753279137,0.01673563,8.17E-05,0.044996094,0.02904257,0.000178618,0.045098655,0.029412714,0.000222733,0.045154153,0.032786688,5.37E-05,0.045021295,0.034450911,5.59E-05,0.045021829,0.04877612,0.002757989,0.058697734,0.986337286,9.77E-05,0.045504177,0.98656541,0.000130638,0.045026324,0.98753268,0.000210461,0.082710219,0.987539465,0.000236644,0.045313078,0.988359086,6.20E-05,0.045083323,0.988679624,5.75E-05,0.045026659,0.989835418,6.93E-05,0.044723915,0.990901379,6.35E-05,0.045007637,0.991494863,6.81E-05,0.044992189,0.992532793,8.61E-05,0.044993477,0.993074007,7.44E-05,0.044984855,0.993973356,3.66E-05,0.045001472,0.995341954,2.80E-05,0.044997699,0.997571889,1.96E-05,0.044718757
12.2849,5.476879406,1.200880718,1.069749866,1.000295944,-0.005493306,-0.250197167,0.192524628,3.217129667,5.578721412,2.093690903,-14.99999843,-14.99999739,0.299999795,-22.61371499,-2.682482662,8.556264743,578.7584164,-4.99E-07,-11.57516147,6.678968862,4.946558235,4.753280474,6.879246591,0.01665681,7.88E-05,0.044996965,0.028845731,0.000196839,0.045105731,0.029197478,0.000215235,0.045156742,0.032735737,5.10E-05,0.045019512,0.034398039,5.29E-05,0.045020158,0.046787976,0.001988144,0.052751381,0.986239047,9.82E-05,0.045505315,0.986436807,0.000128604,0.045032253,0.987299795,0.000232885,0.08391296,0.987299821,0.000239644,0.046169772,0.988300142,5.89E-05,0.04507522,0.988625032,5.46E-05,0.045025193,0.989766667,6.88E-05,0.04480118,0.990838158,6.32E-05,0.045007211,0.991427066,6.78E-05,0.044993623,0.992445544,8.72E-05,0.044990571,0.992998584,7.54E-05,0.044986275,0.993937942,3.54E-05,0.045001653,0.995314561,2.74E-05,0.044998053,0.997552188,1.97E-05,0.044796005
12.3368,5.616128402,1.48811055,1.193566244,0.820665869,0.05742741,-0.609865082,0.229036208,2.044945638,5.439674672,2.537205686,14.99999814,-14.99999741,-0.299999781,-24.85739165,-15.4100143,-11.06375885,-578.758388,6.09E-06,11.57516145,4.946533431,6.678943964,6.879221714,4.753255692,0.016580383,7.64E-05,0.044997605,0.028630359,0.000215372,0.045109677,0.028991484,0.000205994,0.045156351,0.032687049,4.87E-05,0.045018091,0.034347715,5.03E-05,0.045018802,0.045275416,0.00151256,0.049666256,0.986139991,9.91E-05,0.045508546,0.986309568,0.000127239,0.045038854,0.987052356,0.000247439,0.045673716,0.987066645,0.000233176,0.083945336,0.988243708,5.64E-05,0.045068725,0.988572905,5.21E-05,0.045024,0.989698429,6.82E-05,0.044849236,0.990775076,6.31E-05,0.045006784,0.991359448,6.76E-05,0.044994805,0.992357809,8.77E-05,0.044987515,0.992922368,7.62E-05,0.044987877,0.993903533,3.44E-05,0.045001791,0.995287703,2.69E-05,0.044998348,0.997532429,1.98E-05,0.044844046
12.3886,5.68817084,1.749852081,1.315207379,0.538808014,0.168121271,-0.872500237,0.149149185,0.75646042,4.640895142,1.963714712,-14.99999696,-14.9999971,0.299999795,-3.043338025,-1.018687792,-13.41577373,578.7583878,-6.64E-06,-0.026817151,1.918726558,0.00048245,3.46E-05,1.919190492,0.016505636,7.47E-05,0.044997993,0.028399651,0.000230708,0.045108008,0.028796004,0.00019548,0.045152419,0.032639975,4.71E-05,0.045017088,0.034299212,4.85E-05,0.045017884,0.044052354,0.001223062,0.048130812,0.986039426,0.000100566,0.045517808,0.986182181,0.000127387,0.045046975,0.986798846,0.00025351,0.045258197,0.986846045,0.0002206,0.08331132,0.988189074,5.46E-05,0.045064071,0.988522514,5.04E-05,0.045023287,0.989630657,6.78E-05,0.044878603,0.990711782,6.33E-05,0.045006361,0.991291651,6.78E-05,0.044995702,0.99227039,8.74E-05,0.044984707,0.992845647,7.67E-05,0.044989594,0.993869846,3.37E-05,0.045001888,0.995261241,2.65E-05,0.044998564,0.997512613,1.98E-05,0.044873399
12.4404,5.72269598,1.988857614,1.399524612,0.159178457,0.162842067,-1.019762774,0.104437378,0.598708709,4.588091365,1.268306828,14.99999813,-14.99999744,0.298609725,-0.024613034,-2.622907685,-13.86429292,2.34E-06,578.7583766,0.025319593,0.000457264,1.92E-05,1.919150968,1.918728157,0.016432278,7.34E-05,0.04499828,0.02815627,0.000243381,0.045102637,0.028610787,0.000185217,0.045146572,0.032594184,4.58E-05,0.045016295,0.034252097,4.71E-05,0.045017215,0.043022359,0.001029995,0.047269655,0.985937023,0.000102403,0.045529068,0.986054314,0.000127867,0.045056659,0.986548579,0.000250267,0.04512579,0.986637378,0.000208667,0.08260498,0.988135877,5.32E-05,0.045060353,0.988473432,4.91E-05,0.045022843,0.989563299,6.74E-05,0.044898249,0.990648161,6.36E-05,0.045005918,0.991223562,6.81E-05,0.044996487,0.992183717,8.67E-05,0.04498211,0.992768589,7.71E-05,0.04499126,0.993836741,3.31E-05,0.045001963,0.995235089,2.62E-05,0.044998733,0.997492738,1.99E-05,0.044893028
12.4923,5.753390889,2.223809333,1.446218895,0.079572013,0.153489982,-0.911991444,0.491585108,0.59743289,4.4521327,0.549649909,14.99999825,14.99999707,0.299922168,-1.692070917,-4.808272918,-11.43812215,-578.7584033,-8.19E-06,-11.57366395,0.000151278,2.126093252,1.925841403,0.193404002,0.016360404,7.19E-05,0.044998582,0.027900021,0.000256249,0.045096669,0.028435291,0.000175496,0.045139424,0.032549655,4.45E-05,0.045015534,0.034206276,4.58E-05,0.045016599,0.042140736,0.000881623,0.046699403,0.985832814,0.000104209,0.045538132,0.985926767,0.000127547,0.04506757,0.986312313,0.000236266,0.045058412,0.98643976,0.000197618,0.081849269,0.988084098,5.18E-05,0.045056808,0.988425576,4.79E-05,0.045022412,0.989496338,6.70E-05,0.044913391,0.990584307,6.39E-05,0.045005445,0.991155363,6.82E-05,0.044997288,0.992097837,8.59E-05,0.044979408,0.992691341,7.72E-05,0.044992848,0.993804233,3.25E-05,0.045002025,0.995209241,2.58E-05,0.044998889,0.997472806,1.99E-05,0.044908149
12.5441,5.782903871,2.447971068,1.458947452,0.395637773,-0.088794478,-0.821296958,0.515006855,0.509724236,4.202895424,-0.043246221,-14.99999765,14.99999665,-0.299999784,-26.76423115,-11.48298865,-13.46453217,578.7583966,-1.93E-06,11.57516155,6.879187418,4.753221366,4.94649912,6.67890968,0.016290065,7.03E-05,0.044998882,0.027630963,0.000269059,0.045090412,0.028268571,0.00016672,0.045131977,0.032506336,4.33E-05,0.045014818,0.034161645,4.46E-05,0.045016041,0.041372622,0.000768114,0.046318156,0.985726944,0.00010587,0.045542993,0.985800105,0.000126662,0.045080239,0.986100509,0.000211804,0.045021025,0.986251963,0.000187798,0.081081374,0.988033686,5.04E-05,0.045053493,0.988378853,4.67E-05,0.045022011,0.98942974,6.66E-05,0.044925015,0.990520372,6.39E-05,0.045004944,0.991087217,6.81E-05,0.044998083,0.992012791,8.50E-05,0.044976625,0.992613977,7.74E-05,0.04499432,0.99377232,3.19E-05,0.045002077,0.995183683,2.56E-05,0.044999032,0.997452818,2.00E-05,0.044919747
12.5959,5.775309621,2.64679717,1.435649089,0.702214927,-0.236780784,-0.612824738,0.424675639,-0.877602186,3.607673635,-0.741181504,14.9999979,14.99999655,0.299999796,-24.94367714,2.353273843,5.538550259,-578.758414,1.48E-06,-11.57516159,4.753278469,6.87924458,6.678966852,4.946556236,0.016220915,6.92E-05,0.044999084,0.027353148,0.000277815,0.045082382,0.028109904,0.000158666,0.045124365,0.032463928,4.24E-05,0.045014274,0.034117838,4.38E-05,0.045015682,0.040683727,0.000688895,0.04608158,0.985618958,0.000107986,0.045548329,0.985673534,0.000126571,0.045097247,0.985914745,0.000185765,0.045001637,0.986073055,0.000178908,0.080295297,0.987984306,4.94E-05,0.045050929,0.988332893,4.60E-05,0.045021859,0.989363419,6.63E-05,0.044933163,0.990456203,6.42E-05,0.045004415,0.991018915,6.83E-05,0.044998766,0.9919288,8.40E-05,0.044974242,0.992536596,7.74E-05,0.044995704,0.993740853,3.15E-05,0.045002114,0.995158321,2.54E-05,0.044999138,0.99743277,2.00E-05,0.044927868
12.6478,5.694531372,2.832780353,1.402444008,0.860507083,-0.410788782,-0.289658094,0.335936897,-2.17056002,3.729655805,-0.454090234,-14.99999855,14.99999662,-0.299999786,-12.75430521,22.5105473,4.164445178,578.7583963,-2.80E-06,11.5751614,6.87923261,4.753266562,4.946544311,6.678954871,0.016152317,6.86E-05,0.044999127,0.027073542,0.000279606,0.045072376,0.027959784,0.00015012,0.045115315,0.032422002,4.19E-05,0.045013956,0.034074394,4.34E-05,0.045015575,0.040052388,0.000631339,0.045925379,0.985507424,0.000111534,0.045561114,0.985545233,0.0001283,0.045123546,0.985749047,0.000165698,0.044991929,0.985903416,0.000169638,0.079368746,0.987935476,4.88E-05,0.045049332,0.988287217,4.57E-05,0.045022054,0.989297292,6.61E-05,0.044939112,0.990391213,6.50E-05,0.045003827,0.990949899,6.90E-05,0.044999286,0.991846127,8.27E-05,0.044972662,0.9924596,7.70E-05,0.04499711,0.993709602,3.13E-05,0.045002138,0.995133022,2.53E-05,0.044999198,0.997412659,2.01E-05,0.04493379
