%time,field.data
1646148404764267799,time:1646148404.7635, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404782841967,time:1646148404.782497, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404803604941,time:1646148404.803017, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404822464870,time:1646148404.8221548, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404844427149,time:1646148404.8440814, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404868955464,time:1646148404.8679268, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404886585123,time:1646148404.885578, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404902524987,time:1646148404.902122, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404922380088,time:1646148404.9220657, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404943316628,time:1646148404.9426107, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404962645685,time:1646148404.9621785, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404983374380,time:1646148404.982676, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405002888582,time:1646148405.002564, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148405022475805,time:1646148405.0221367, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
