%time,field.data
1646148435444854927,time:1646148435.443417, thrl:0.16265869140625, r:-0.301422119140625, p:-0.7547607421875, y:-0.173431396484375, a:0.00048828125
1646148435463555800,time:1646148435.4630542, thrl:0.16265869140625, r:-0.300445556640625, p:-0.7547607421875, y:-0.159759521484375, a:0.00048828125
1646148435482568553,time:1646148435.4822693, thrl:0.16265869140625, r:-0.299468994140625, p:-0.7547607421875, y:-0.143157958984375, a:0.00048828125
1646148435503873291,time:1646148435.5032048, thrl:0.16363525390625, r:-0.298492431640625, p:-0.7547607421875, y:-0.12750244140625, a:0.00048828125
1646148435524780064,time:1646148435.5239742, thrl:0.16461181640625, r:-0.278961181640625, p:-0.7547607421875, y:-0.12164306640625, a:0.00048828125
1646148435542572420,time:1646148435.54217, thrl:0.18121337890625, r:-0.278961181640625, p:-0.7547607421875, y:-0.10308837890625, a:0.00048828125
1646148435564056810,time:1646148435.5630333, thrl:0.18121337890625, r:-0.260406494140625, p:-0.7547607421875, y:-0.08843994140625, a:0.00048828125
1646148435582904706,time:1646148435.5825014, thrl:0.18121337890625, r:-0.2437744140625, p:-0.7547607421875, y:-0.051300048828125, a:0.00048828125
1646148435602625861,time:1646148435.6022878, thrl:0.15972900390625, r:-0.2164306640625, p:-0.7547607421875, y:-0.015167236328125, a:0.00048828125
1646148435622808788,time:1646148435.6224265, thrl:0.111846923828125, r:-0.157806396484375, p:-0.7547607421875, y:-0.015167236328125, a:0.00048828125
1646148435644093489,time:1646148435.6431925, thrl:0.06396484375, r:-0.10113525390625, p:-0.7547607421875, y:-0.014190673828125, a:0.00048828125
1646148435663237922,time:1646148435.6628118, thrl:0.00146484375, r:-0.025909423828125, p:-0.7547607421875, y:0.00146484375, a:0.00048828125
1646148435686999827,time:1646148435.682387, thrl:0.00146484375, r:-0.001495361328125, p:-0.7547607421875, y:0.00146484375, a:0.00048828125
1646148435702889186,time:1646148435.7025492, thrl:0.00146484375, r:0.04638671875, p:-0.7547607421875, y:0.01513671875, a:0.00048828125
1646148435722820524,time:1646148435.7223816, thrl:0.00146484375, r:0.068878173828125, p:-0.7547607421875, y:0.02099609375, a:0.00048828125
1646148435742254735,time:1646148435.741867, thrl:0.00146484375, r:0.15386962890625, p:-0.7547607421875, y:0.02490234375, a:0.00048828125
1646148435762819489,time:1646148435.7623212, thrl:0.00146484375, r:0.199798583984375, p:-0.7547607421875, y:0.02490234375, a:0.00048828125
1646148435782786545,time:1646148435.7824407, thrl:0.00146484375, r:0.228118896484375, p:-0.7547607421875, y:0.02490234375, a:0.00048828125
1646148435804526589,time:1646148435.803688, thrl:0.00146484375, r:0.251556396484375, p:-0.7547607421875, y:0.02490234375, a:0.00048828125
1646148435822846891,time:1646148435.8224704, thrl:0.01611328125, r:0.2662353515625, p:-0.7547607421875, y:0.02490234375, a:0.00048828125
1646148435845184271,time:1646148435.8435488, thrl:0.04931640625, r:0.2662353515625, p:-0.7547607421875, y:0.01904296875, a:0.00048828125
1646148435862941413,time:1646148435.8622847, thrl:0.079620361328125, r:0.2662353515625, p:-0.7547607421875, y:0.01904296875, a:0.00048828125
1646148435882692459,time:1646148435.8823366, thrl:0.089385986328125, r:0.2662353515625, p:-0.7547607421875, y:0.01513671875, a:0.00048828125
1646148435903727410,time:1646148435.903379, thrl:0.112823486328125, r:0.250579833984375, p:-0.7547607421875, y:-0.000518798828125, a:0.00048828125
1646148435922993541,time:1646148435.922316, thrl:0.13043212890625, r:0.230072021484375, p:-0.7547607421875, y:-0.000518798828125, a:0.00048828125
1646148435944457681,time:1646148435.9440536, thrl:0.15484619140625, r:0.206634521484375, p:-0.7547607421875, y:-0.000518798828125, a:0.00048828125
1646148435963071735,time:1646148435.9625652, thrl:0.17828369140625, r:0.18707275390625, p:-0.7547607421875, y:-0.000518798828125, a:0.00048828125
1646148435984288330,time:1646148435.981878, thrl:0.200775146484375, r:0.14215087890625, p:-0.7547607421875, y:-0.000518798828125, a:0.00048828125
1646148436003638280,time:1646148436.0032558, thrl:0.216400146484375, r:0.125518798828125, p:-0.7547607421875, y:-0.000518798828125, a:0.00048828125
1646148436022954777,time:1646148436.0225165, thrl:0.231048583984375, r:0.118682861328125, p:-0.7547607421875, y:-0.000518798828125, a:0.00048828125
1646148436043686363,time:1646148436.042918, thrl:0.244720458984375, r:0.100128173828125, p:-0.7547607421875, y:-0.000518798828125, a:0.00048828125
1646148436062628563,time:1646148436.0621746, thrl:0.2623291015625, r:0.100128173828125, p:-0.7547607421875, y:-0.000518798828125, a:0.00048828125
1646148436082673632,time:1646148436.0823157, thrl:0.2623291015625, r:0.099151611328125, p:-0.7547607421875, y:-0.001495361328125, a:0.00048828125
1646148436102298839,time:1646148436.1019611, thrl:0.2769775390625, r:0.084503173828125, p:-0.7547607421875, y:-0.001495361328125, a:0.00048828125
1646148436123168248,time:1646148436.122732, thrl:0.2769775390625, r:0.084503173828125, p:-0.7547607421875, y:-0.001495361328125, a:0.00048828125
1646148436143425240,time:1646148436.14243, thrl:0.2935791015625, r:0.084503173828125, p:-0.7547607421875, y:-0.001495361328125, a:0.00048828125
1646148436163231156,time:1646148436.1625323, thrl:0.2935791015625, r:0.084503173828125, p:-0.7547607421875, y:-0.001495361328125, a:0.00048828125
1646148436183488218,time:1646148436.1830387, thrl:0.2935791015625, r:0.084503173828125, p:-0.7547607421875, y:-0.001495361328125, a:0.00048828125
1646148436206631158,time:1646148436.2057972, thrl:0.2935791015625, r:0.101104736328125, p:-0.7547607421875, y:-0.001495361328125, a:0.00048828125
1646148436223750940,time:1646148436.223004, thrl:0.3092041015625, r:0.101104736328125, p:-0.7547607421875, y:-0.001495361328125, a:0.00048828125
1646148436242744298,time:1646148436.242128, thrl:0.3092041015625, r:0.101104736328125, p:-0.7547607421875, y:-0.001495361328125, a:0.00048828125
1646148436262618416,time:1646148436.2622437, thrl:0.325836181640625, r:0.117706298828125, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436282563645,time:1646148436.282195, thrl:0.325836181640625, r:0.13140869140625, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436303779950,time:1646148436.3034086, thrl:0.325836181640625, r:0.13140869140625, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436323462141,time:1646148436.3228383, thrl:0.326812744140625, r:0.15191650390625, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436342403392,time:1646148436.3420115, thrl:0.327789306640625, r:0.17144775390625, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436364348620,time:1646148436.363727, thrl:0.328765869140625, r:0.18511962890625, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436382801781,time:1646148436.3824227, thrl:0.328765869140625, r:0.194915771484375, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436404010279,time:1646148436.4034421, thrl:0.3131103515625, r:0.213470458984375, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436422703386,time:1646148436.4222925, thrl:0.2984619140625, r:0.233001708984375, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436442513629,time:1646148436.4420898, thrl:0.2984619140625, r:0.249603271484375, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436464296520,time:1646148436.4634492, thrl:0.2711181640625, r:0.2662353515625, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436483339457,time:1646148436.4830143, thrl:0.251556396484375, r:0.2838134765625, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436502687415,time:1646148436.5022907, thrl:0.224212646484375, r:0.3033447265625, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436523659925,time:1646148436.5229888, thrl:0.196868896484375, r:0.3199462890625, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436542356773,time:1646148436.5418837, thrl:0.15972900390625, r:0.333648681640625, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436563954716,time:1646148436.5633676, thrl:0.13726806640625, r:0.333648681640625, p:-0.7547607421875, y:-0.002471923828125, a:0.00048828125
1646148436582949476,time:1646148436.5825043, thrl:0.100128173828125, r:0.333648681640625, p:-0.7547607421875, y:-0.003448486328125, a:0.00048828125
1646148436602389936,time:1646148436.601984, thrl:0.086456298828125, r:0.333648681640625, p:-0.7547607421875, y:-0.003448486328125, a:0.00048828125
1646148436623861015,time:1646148436.6233103, thrl:0.05224609375, r:0.334625244140625, p:-0.7547607421875, y:-0.003448486328125, a:0.00048828125
1646148436642590638,time:1646148436.6420677, thrl:0.03466796875, r:0.352203369140625, p:-0.7547607421875, y:-0.003448486328125, a:0.00048828125
1646148436663154136,time:1646148436.662574, thrl:0.01123046875, r:0.352203369140625, p:-0.7547607421875, y:-0.003448486328125, a:0.00048828125
1646148436684587668,time:1646148436.6820831, thrl:0.01123046875, r:0.352203369140625, p:-0.7547607421875, y:-0.003448486328125, a:0.00048828125
1646148436702449205,time:1646148436.7021258, thrl:0.00439453125, r:0.3218994140625, p:-0.7547607421875, y:-0.003448486328125, a:0.00048828125
1646148436723188361,time:1646148436.7226062, thrl:0.00048828125, r:0.3218994140625, p:-0.7547607421875, y:-0.003448486328125, a:0.00048828125
1646148436742570303,time:1646148436.7420497, thrl:-0.000518798828125, r:0.3218994140625, p:-0.7547607421875, y:-0.003448486328125, a:0.00048828125
1646148436762395315,time:1646148436.7620454, thrl:-0.000518798828125, r:0.3218994140625, p:-0.7547607421875, y:-0.003448486328125, a:0.00048828125
1646148436782510157,time:1646148436.7821586, thrl:-0.000518798828125, r:0.3199462890625, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148436802483520,time:1646148436.8021214, thrl:-0.019073486328125, r:0.3199462890625, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148436822833575,time:1646148436.8224921, thrl:-0.032745361328125, r:0.3179931640625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148436842716393,time:1646148436.8421488, thrl:-0.046417236328125, r:0.3160400390625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148436862485865,time:1646148436.8621151, thrl:-0.046417236328125, r:0.3004150390625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148436882524983,time:1646148436.8821428, thrl:-0.063018798828125, r:0.3004150390625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148436903824101,time:1646148436.903473, thrl:-0.07769775390625, r:0.2838134765625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148436923079279,time:1646148436.9227445, thrl:-0.07769775390625, r:0.2652587890625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148436943853980,time:1646148436.9429328, thrl:-0.09429931640625, r:0.248626708984375, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148436962229383,time:1646148436.961984, thrl:-0.09429931640625, r:0.248626708984375, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148436983176792,time:1646148436.9829228, thrl:-0.09429931640625, r:0.227142333984375, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437003021930,time:1646148437.0027626, thrl:-0.09429931640625, r:0.194915771484375, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437023311545,time:1646148437.0229824, thrl:-0.09429931640625, r:0.16265869140625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437042624241,time:1646148437.0423973, thrl:-0.09527587890625, r:0.13140869140625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437062423872,time:1646148437.0621834, thrl:-0.09527587890625, r:0.108917236328125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437082162251,time:1646148437.0819445, thrl:-0.09527587890625, r:0.089385986328125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437103194047,time:1646148437.1026807, thrl:-0.09527587890625, r:0.089385986328125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437123275867,time:1646148437.123043, thrl:-0.09527587890625, r:0.073760986328125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437142338010,time:1646148437.1421232, thrl:-0.08941650390625, r:0.05615234375, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437162711222,time:1646148437.1624537, thrl:-0.08941650390625, r:0.03369140625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437182682546,time:1646148437.1823943, thrl:-0.06793212890625, r:0.00634765625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437203950478,time:1646148437.2036126, thrl:-0.06793212890625, r:0.00634765625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437222525126,time:1646148437.22231, thrl:-0.06793212890625, r:0.00634765625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437242114060,time:1646148437.2418952, thrl:-0.06793212890625, r:0.00634765625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437262627816,time:1646148437.2623754, thrl:-0.06793212890625, r:0.00537109375, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437282515554,time:1646148437.282302, thrl:-0.06793212890625, r:0.00439453125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437303543611,time:1646148437.303328, thrl:-0.06793212890625, r:0.00341796875, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437322395445,time:1646148437.322178, thrl:-0.06793212890625, r:-0.014190673828125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437342523634,time:1646148437.3422625, thrl:-0.08160400390625, r:-0.028839111328125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437363900961,time:1646148437.3635404, thrl:-0.09527587890625, r:-0.042510986328125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437382052380,time:1646148437.3818645, thrl:-0.09527587890625, r:-0.042510986328125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437403249942,time:1646148437.4030209, thrl:-0.11187744140625, r:-0.042510986328125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437423519466,time:1646148437.4231174, thrl:-0.12261962890625, r:-0.043487548828125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437443726721,time:1646148437.4424384, thrl:-0.12261962890625, r:-0.058135986328125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437463258400,time:1646148437.4629066, thrl:-0.140228271484375, r:-0.058135986328125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437482786647,time:1646148437.4824603, thrl:-0.140228271484375, r:-0.058135986328125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437503295783,time:1646148437.5029826, thrl:-0.188079833984375, r:-0.058135986328125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437523206834,time:1646148437.5226326, thrl:-0.2222900390625, r:-0.041534423828125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437545291495,time:1646148437.5440495, thrl:-0.2545166015625, r:-0.041534423828125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437562507197,time:1646148437.562204, thrl:-0.296539306640625, r:-0.041534423828125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437583825133,time:1646148437.5834165, thrl:-0.397186279296875, r:-0.021026611328125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437603575054,time:1646148437.6032562, thrl:-0.432342529296875, r:0.00048828125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437623220084,time:1646148437.6227984, thrl:-0.529083251953125, r:0.00048828125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437644090103,time:1646148437.6431494, thrl:-0.579864501953125, r:0.00048828125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437663434034,time:1646148437.6630697, thrl:-0.63751220703125, r:0.00048828125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437684784957,time:1646148437.6820521, thrl:-0.655120849609375, r:0.00048828125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437702562995,time:1646148437.7022705, thrl:-0.7137451171875, r:0.00048828125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437722574969,time:1646148437.7222607, thrl:-0.7459716796875, r:0.00048828125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437744224104,time:1646148437.7434893, thrl:-0.7528076171875, r:0.00048828125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437765953251,time:1646148437.7654934, thrl:-0.801666259765625, r:0.01708984375, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437784005842,time:1646148437.783593, thrl:-0.815338134765625, r:0.03466796875, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437802894298,time:1646148437.802607, thrl:-0.837799072265625, r:0.05126953125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437822213540,time:1646148437.8219104, thrl:-0.85540771484375, r:0.05126953125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437844037556,time:1646148437.843007, thrl:-0.87005615234375, r:0.05126953125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437864009182,time:1646148437.8635445, thrl:-0.87005615234375, r:0.05224609375, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437882545896,time:1646148437.8822432, thrl:-0.87005615234375, r:0.05224609375, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437907516334,time:1646148437.9069343, thrl:-0.87005615234375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437925856371,time:1646148437.9251783, thrl:-0.87005615234375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437943203989,time:1646148437.9422288, thrl:-0.87005615234375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437963615043,time:1646148437.9629664, thrl:-0.87005615234375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148437982578901,time:1646148437.98228, thrl:-0.87005615234375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438002821306,time:1646148438.0025132, thrl:-0.87005615234375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438023002771,time:1646148438.0226738, thrl:-0.87005615234375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438043466251,time:1646148438.042629, thrl:-0.87005615234375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438062812153,time:1646148438.062347, thrl:-0.87005615234375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438083299140,time:1646148438.0828805, thrl:-0.87005615234375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438102611194,time:1646148438.1021852, thrl:-0.87005615234375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438122432126,time:1646148438.1220634, thrl:-0.87005615234375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438143518622,time:1646148438.143187, thrl:-0.87103271484375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438162766105,time:1646148438.162156, thrl:-0.87103271484375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438185727554,time:1646148438.1853974, thrl:-0.87103271484375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438203340791,time:1646148438.2027164, thrl:-0.87200927734375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438222749885,time:1646148438.2222595, thrl:-0.87200927734375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438243650948,time:1646148438.2432768, thrl:-0.87200927734375, r:0.05322265625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438263462247,time:1646148438.2629852, thrl:-0.87200927734375, r:0.05224609375, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438283191831,time:1646148438.2827313, thrl:-0.87200927734375, r:0.05126953125, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438302643898,time:1646148438.3020988, thrl:-0.87200927734375, r:0.05029296875, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438322910723,time:1646148438.3225355, thrl:-0.87200927734375, r:0.04931640625, p:-0.7547607421875, y:-0.006378173828125, a:0.00048828125
1646148438343835581,time:1646148438.3429308, thrl:-0.87200927734375, r:0.03173828125, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438362934994,time:1646148438.3624876, thrl:-0.87200927734375, r:0.03173828125, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438382914511,time:1646148438.3824453, thrl:-0.87200927734375, r:0.03173828125, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438402641278,time:1646148438.40213, thrl:-0.87200927734375, r:0.03173828125, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438422645919,time:1646148438.4221141, thrl:-0.87200927734375, r:0.03173828125, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438443810238,time:1646148438.4423382, thrl:-0.87103271484375, r:0.03173828125, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438462986270,time:1646148438.462484, thrl:-0.87103271484375, r:0.03173828125, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438483456747,time:1646148438.4829905, thrl:-0.87005615234375, r:0.03173828125, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438503392394,time:1646148438.5029502, thrl:-0.86907958984375, r:0.03173828125, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438523784068,time:1646148438.52344, thrl:-0.86810302734375, r:0.03076171875, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438542760233,time:1646148438.5420766, thrl:-0.86712646484375, r:0.02978515625, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438562765320,time:1646148438.5623295, thrl:-0.86614990234375, r:0.02880859375, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438582329813,time:1646148438.5821075, thrl:-0.86517333984375, r:0.02685546875, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438602858960,time:1646148438.6025887, thrl:-0.86419677734375, r:0.02587890625, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438622326764,time:1646148438.6220698, thrl:-0.86322021484375, r:0.02587890625, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438642549697,time:1646148438.6420329, thrl:-0.86224365234375, r:0.02587890625, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438662803654,time:1646148438.6624877, thrl:-0.86126708984375, r:0.02587890625, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438687963007,time:1646148438.6874397, thrl:-0.86126708984375, r:0.02490234375, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438704137686,time:1646148438.703604, thrl:-0.86126708984375, r:0.02490234375, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438722401657,time:1646148438.7220447, thrl:-0.86029052734375, r:0.02490234375, p:-0.7547607421875, y:-0.005401611328125, a:0.00048828125
1646148438743324372,time:1646148438.741978, thrl:-0.85736083984375, r:0.02490234375, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148438762651364,time:1646148438.7621994, thrl:-0.83978271484375, r:0.02294921875, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148438782578237,time:1646148438.7821515, thrl:-0.825103759765625, r:0.00634765625, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148438802626320,time:1646148438.8021595, thrl:-0.811431884765625, r:0.00634765625, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148438823227127,time:1646148438.8227768, thrl:-0.794830322265625, r:0.00537109375, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148438844434094,time:1646148438.843737, thrl:-0.774322509765625, r:0.00537109375, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148438863257468,time:1646148438.8626075, thrl:-0.708831787109375, r:-0.010284423828125, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148438882476967,time:1646148438.8821623, thrl:-0.657073974609375, r:-0.041534423828125, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148438902750088,time:1646148438.9023182, thrl:-0.61407470703125, r:-0.055206298828125, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148438922682311,time:1646148438.9222465, thrl:-0.58087158203125, r:-0.07574462890625, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148438942761140,time:1646148438.94201, thrl:-0.533966064453125, r:-0.08941650390625, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148438963350764,time:1646148438.9629693, thrl:-0.491943359375, r:-0.10504150390625, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148438982457638,time:1646148438.9820888, thrl:-0.432342529296875, r:-0.12164306640625, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439002786203,time:1646148439.0022242, thrl:-0.35614013671875, r:-0.142181396484375, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439022381243,time:1646148439.0220706, thrl:-0.2271728515625, r:-0.161712646484375, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439047273071,time:1646148439.0466578, thrl:-0.165618896484375, r:-0.161712646484375, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439063091920,time:1646148439.0625355, thrl:-0.10992431640625, r:-0.161712646484375, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439086248896,time:1646148439.0855677, thrl:-0.006378173828125, r:-0.161712646484375, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439105781110,time:1646148439.1051967, thrl:-0.006378173828125, r:-0.141204833984375, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439124479153,time:1646148439.1239648, thrl:-0.006378173828125, r:-0.141204833984375, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439144269516,time:1646148439.1436272, thrl:0.02685546875, r:-0.12359619140625, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439163145436,time:1646148439.162698, thrl:0.06298828125, r:-0.12359619140625, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439182841894,time:1646148439.1822503, thrl:0.076690673828125, r:-0.12359619140625, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439202631806,time:1646148439.2023141, thrl:0.101104736328125, r:-0.12261962890625, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439222731277,time:1646148439.2223456, thrl:0.107940673828125, r:-0.12261962890625, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439242924180,time:1646148439.2425244, thrl:0.103057861328125, r:-0.12261962890625, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439263625998,time:1646148439.2628903, thrl:0.099151611328125, r:-0.12261962890625, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439282735669,time:1646148439.2823844, thrl:0.098175048828125, r:-0.12261962890625, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
1646148439302663942,time:1646148439.3022153, thrl:0.082550048828125, r:-0.12261962890625, p:-0.7547607421875, y:-0.004425048828125, a:0.00048828125
