%time,field.data
1650908644887885881,time:1650908644.887469, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644907612421,time:1650908644.906906, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644928129486,time:1650908644.927737, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644947646182,time:1650908644.9472806, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644968629067,time:1650908644.9683456, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644987186004,time:1650908644.9868696, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645008018225,time:1650908645.0075, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645027900614,time:1650908645.0274146, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645048060975,time:1650908645.0475674, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645072426892,time:1650908645.0719469, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645088185384,time:1650908645.087676, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645107742514,time:1650908645.1073751, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645128110005,time:1650908645.1272864, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645147580586,time:1650908645.14726, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645168118539,time:1650908645.1676798, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645187751419,time:1650908645.1873586, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645207926178,time:1650908645.207302, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645228209739,time:1650908645.2277498, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645252357386,time:1650908645.247259, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645267347028,time:1650908645.2669945, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645287643648,time:1650908645.2869768, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645307024088,time:1650908645.3067281, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645328032474,time:1650908645.3274217, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645347664899,time:1650908645.3471932, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645367162902,time:1650908645.3667965, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645387754958,time:1650908645.3872373, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645408352854,time:1650908645.4079812, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645427797299,time:1650908645.4273746, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645448002543,time:1650908645.4473054, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645467903768,time:1650908645.4675407, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645487104505,time:1650908645.486814, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645507688095,time:1650908645.5073543, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645527434757,time:1650908645.527086, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645547675547,time:1650908645.5472965, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645567792207,time:1650908645.5672328, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645587109493,time:1650908645.586869, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645607724581,time:1650908645.607393, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645627264845,time:1650908645.6268651, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645647582982,time:1650908645.6471634, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645667623362,time:1650908645.6673198, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645688068996,time:1650908645.687228, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645707636565,time:1650908645.7072356, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645729440079,time:1650908645.7271695, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645748066928,time:1650908645.747576, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645767927052,time:1650908645.7672663, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645788714438,time:1650908645.7878072, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645808227248,time:1650908645.8076334, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645827581569,time:1650908645.8273008, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645848750000,time:1650908645.8483493, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645867417886,time:1650908645.8671691, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645886993198,time:1650908645.886673, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645907312738,time:1650908645.9068286, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645928000017,time:1650908645.9272573, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645946914256,time:1650908645.9466996, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645967204646,time:1650908645.9669008, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908645988040331,time:1650908645.9877195, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646008024038,time:1650908646.007275, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646028800374,time:1650908646.0284908, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646047130069,time:1650908646.0468693, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646067606882,time:1650908646.067345, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646088528846,time:1650908646.0882747, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646107992125,time:1650908646.1076083, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646128532942,time:1650908646.1280496, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646147789564,time:1650908646.1474638, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646167142744,time:1650908646.1668215, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646188427425,time:1650908646.1880803, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646207876611,time:1650908646.2073562, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646228751708,time:1650908646.2283666, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646248887541,time:1650908646.2473886, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646268457654,time:1650908646.267968, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646288604391,time:1650908646.288288, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646309763726,time:1650908646.3095267, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646329257458,time:1650908646.3283925, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646347601801,time:1650908646.3471534, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646370518348,time:1650908646.3694363, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646387418566,time:1650908646.3871233, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646408382647,time:1650908646.4079702, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646427406286,time:1650908646.4270587, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646447469193,time:1650908646.447251, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646467421824,time:1650908646.4670553, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646487213606,time:1650908646.4868782, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646509338061,time:1650908646.5090477, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646528188825,time:1650908646.527902, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646547467042,time:1650908646.5468905, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646568006658,time:1650908646.567601, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646587936819,time:1650908646.5875294, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646608036235,time:1650908646.6075454, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646627507765,time:1650908646.6272094, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646648011674,time:1650908646.6477556, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646668549104,time:1650908646.668125, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646687850949,time:1650908646.6874812, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646707819636,time:1650908646.707483, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646727868134,time:1650908646.727501, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646747494701,time:1650908646.747042, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646767752234,time:1650908646.7673006, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646787694613,time:1650908646.7873495, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646807175336,time:1650908646.8068151, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646827797319,time:1650908646.8274884, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646847946384,time:1650908646.8472023, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646867257330,time:1650908646.866835, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646889134759,time:1650908646.8882968, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646907334422,time:1650908646.9068658, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646928066566,time:1650908646.9275568, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646947304717,time:1650908646.9469085, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646967545046,time:1650908646.9672384, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908646987389777,time:1650908646.9870915, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647007642220,time:1650908647.0073526, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647027518437,time:1650908647.0271196, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647047928087,time:1650908647.0474482, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647067558890,time:1650908647.0673099, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647087788042,time:1650908647.0873876, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647107588726,time:1650908647.107126, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647127397356,time:1650908647.1270258, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647147188976,time:1650908647.1468241, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647167569429,time:1650908647.1671724, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647187643164,time:1650908647.1872213, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647207704544,time:1650908647.2071419, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647227591531,time:1650908647.227309, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647252619282,time:1650908647.247574, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647267804457,time:1650908647.2673967, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647290213491,time:1650908647.2890797, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647307577159,time:1650908647.3072605, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647327643741,time:1650908647.3273308, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647347788542,time:1650908647.3470316, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647367498210,time:1650908647.3669877, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647387335539,time:1650908647.387013, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647407602135,time:1650908647.4072037, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647427439710,time:1650908647.4270415, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908647447267387,time:1650908647.4468565, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
