%time,field.data
1646147860514176443,time:1646147860.5135293, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860532783842,time:1646147860.532483, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860552478203,time:1646147860.5522132, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860572892134,time:1646147860.5725675, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860592532123,time:1646147860.5922382, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860612746541,time:1646147860.612325, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860632557610,time:1646147860.6323495, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860656755467,time:1646147860.6563928, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860672451762,time:1646147860.672181, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860692322482,time:1646147860.6920016, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860712720991,time:1646147860.7123213, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860734422496,time:1646147860.7331097, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860752971926,time:1646147860.7526958, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860773770706,time:1646147860.7733073, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860793612810,time:1646147860.7929673, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860812875171,time:1646147860.8123124, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860832792299,time:1646147860.8324678, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860852789074,time:1646147860.8523223, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860873324684,time:1646147860.8728704, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860893958491,time:1646147860.8932984, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860912317778,time:1646147860.91207, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860932705324,time:1646147860.932324, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860954223368,time:1646147860.9536638, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860973176575,time:1646147860.9728625, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860994259894,time:1646147860.9935205, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861013293290,time:1646147861.0128536, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861032645243,time:1646147861.0323262, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861061957719,time:1646147861.0598352, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861076495417,time:1646147861.075888, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861093389500,time:1646147861.09295, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861114454342,time:1646147861.113371, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861132809061,time:1646147861.1325076, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861152533149,time:1646147861.1522264, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861175602881,time:1646147861.175127, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861193728471,time:1646147861.1935217, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861213961751,time:1646147861.213725, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861232788548,time:1646147861.2325602, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861253397794,time:1646147861.2530978, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861272189990,time:1646147861.271981, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861293476113,time:1646147861.2932677, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861314477277,time:1646147861.3140652, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861332567707,time:1646147861.332279, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861352661228,time:1646147861.3520937, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861373684271,time:1646147861.3731475, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861392645625,time:1646147861.3921862, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861413974356,time:1646147861.413407, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861433822697,time:1646147861.4334435, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861453368919,time:1646147861.4530165, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861476049186,time:1646147861.475122, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861494926302,time:1646147861.4941988, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861514313929,time:1646147861.5137212, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861535529031,time:1646147861.5349164, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861552430364,time:1646147861.5521665, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861573562408,time:1646147861.573128, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861593173413,time:1646147861.5924802, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861613529165,time:1646147861.6128688, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861632923545,time:1646147861.6323922, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861652805299,time:1646147861.6523094, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861673282923,time:1646147861.672921, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861695334087,time:1646147861.6927555, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861714631748,time:1646147861.714004, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861732724359,time:1646147861.7324328, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861754992797,time:1646147861.7548008, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861772800408,time:1646147861.772366, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861795266792,time:1646147861.7949696, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861812991242,time:1646147861.812433, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861832450517,time:1646147861.8322399, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861855361132,time:1646147861.8548303, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861874874107,time:1646147861.8745933, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861892613383,time:1646147861.8924022, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861913601437,time:1646147861.9132268, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861932491866,time:1646147861.932281, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861955309778,time:1646147861.955003, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861972787073,time:1646147861.972236, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147861994430293,time:1646147861.993506, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862012655923,time:1646147862.012448, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862033049216,time:1646147862.0325723, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862052430564,time:1646147862.0522323, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862072764904,time:1646147862.0724542, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862092888827,time:1646147862.0926783, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862112247982,time:1646147862.1119683, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862132993035,time:1646147862.132563, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862153102561,time:1646147862.1529064, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862173404119,time:1646147862.1726227, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862192804109,time:1646147862.1924465, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862214080977,time:1646147862.213293, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862233246614,time:1646147862.232466, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862253705926,time:1646147862.2530684, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862273285051,time:1646147862.2729537, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862293269621,time:1646147862.2927833, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862312332101,time:1646147862.3121111, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862335168650,time:1646147862.3348644, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862352817143,time:1646147862.3526027, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862372159558,time:1646147862.371983, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862392982366,time:1646147862.392672, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862412660584,time:1646147862.4123557, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862434517984,time:1646147862.434214, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862452638883,time:1646147862.452191, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862472822147,time:1646147862.4725206, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862493430993,time:1646147862.4927905, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862512718183,time:1646147862.5124254, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862532480416,time:1646147862.532186, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862552521179,time:1646147862.5522218, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862572434712,time:1646147862.5721045, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862593457406,time:1646147862.5925472, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862613606990,time:1646147862.613301, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862633093338,time:1646147862.6328063, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862652606509,time:1646147862.6523628, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862672709442,time:1646147862.672515, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862693248187,time:1646147862.6926754, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862713600321,time:1646147862.7131655, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862733416960,time:1646147862.7330337, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862752437361,time:1646147862.7522297, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147862772958842,time:1646147862.772564, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
