%time,field.data
1650909038318896158,time:1650909038.3186336, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038340363734,time:1650909038.3391345, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038358696778,time:1650909038.3584352, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038379258176,time:1650909038.3788302, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038399108872,time:1650909038.3985882, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038419124019,time:1650909038.4185085, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038438648253,time:1650909038.43844, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038459187411,time:1650909038.4589229, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038479453129,time:1650909038.4790545, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038498921779,time:1650909038.498662, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038518951864,time:1650909038.518698, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038539091929,time:1650909038.5388362, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038559161383,time:1650909038.558901, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038578919019,time:1650909038.5785887, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038599479087,time:1650909038.5992167, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038618830834,time:1650909038.6184955, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038639409006,time:1650909038.638587, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038660982448,time:1650909038.6602566, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038679288168,time:1650909038.6788387, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038698878972,time:1650909038.6986127, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038718989496,time:1650909038.7184908, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038739066031,time:1650909038.738782, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038762215107,time:1650909038.7606058, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038779036566,time:1650909038.7786634, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038798952036,time:1650909038.798564, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038818855596,time:1650909038.818548, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038839498124,time:1650909038.8392358, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038858728899,time:1650909038.8584354, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038880130897,time:1650909038.8791099, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038898779636,time:1650909038.8985171, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038918847160,time:1650909038.9186044, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038938983828,time:1650909038.938587, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038958902601,time:1650909038.9585934, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909038979844889,time:1650909038.9794507, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039000045179,time:1650909038.9994783, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039018723250,time:1650909039.0184877, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039038982311,time:1650909039.0387185, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039059562216,time:1650909039.0593011, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039079377886,time:1650909039.079116, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039098742726,time:1650909039.0984714, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039118965911,time:1650909039.118629, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039138700848,time:1650909039.1384287, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039159333128,time:1650909039.1590612, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039179521269,time:1650909039.179223, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039201424758,time:1650909039.200599, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039218905524,time:1650909039.2186491, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039238927620,time:1650909039.2386363, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039258836729,time:1650909039.2585669, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039280567235,time:1650909039.279285, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039298957760,time:1650909039.298583, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039319044284,time:1650909039.3186386, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039340585174,time:1650909039.340223, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039360109848,time:1650909039.3592238, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039380586498,time:1650909039.379552, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039399289252,time:1650909039.3987992, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039418931509,time:1650909039.4186354, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039439374851,time:1650909039.4390996, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039459326598,time:1650909039.4590027, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039479052504,time:1650909039.4787183, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039499314513,time:1650909039.4990523, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039519198917,time:1650909039.518942, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039538673620,time:1650909039.538417, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039558863063,time:1650909039.5586073, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039579826665,time:1650909039.578989, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039598739505,time:1650909039.5984771, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039618760171,time:1650909039.6184974, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039639246645,time:1650909039.6389904, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039659342059,time:1650909039.659003, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039679869357,time:1650909039.6791096, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039699242491,time:1650909039.698983, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039718999147,time:1650909039.7187448, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039738841304,time:1650909039.738578, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039759426487,time:1650909039.758913, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039779747877,time:1650909039.7787485, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039798674658,time:1650909039.7984338, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039818917701,time:1650909039.818638, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039839187351,time:1650909039.8389225, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039858931677,time:1650909039.8586593, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039881039382,time:1650909039.880753, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039898871116,time:1650909039.8986185, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039918670687,time:1650909039.9184098, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039942069705,time:1650909039.9417167, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039958929121,time:1650909039.958662, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039979305642,time:1650909039.9786227, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909039998801959,time:1650909039.9985359, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040018945922,time:1650909040.0186758, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040038980109,time:1650909040.0386152, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040059068106,time:1650909040.058817, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040078754027,time:1650909040.0785072, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040098684925,time:1650909040.0984244, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040118836627,time:1650909040.118584, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040138820244,time:1650909040.1385558, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040159181785,time:1650909040.1589298, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040179697096,time:1650909040.1791294, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040199301895,time:1650909040.198983, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040219183518,time:1650909040.2189255, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040238967460,time:1650909040.2387023, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040258961848,time:1650909040.2587092, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040279434396,time:1650909040.2790263, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040298959316,time:1650909040.2985723, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040318936509,time:1650909040.3185663, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040339290958,time:1650909040.3387249, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040359353313,time:1650909040.3589244, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040379562349,time:1650909040.378909, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040398683665,time:1650909040.3983462, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040419329045,time:1650909040.4190466, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040439172525,time:1650909040.4388103, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040459369425,time:1650909040.4587877, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040479824551,time:1650909040.4788713, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040498879242,time:1650909040.498508, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040519298784,time:1650909040.5189729, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040539444388,time:1650909040.5390656, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909040558659717,time:1650909040.558379, thrl:0.00634765625, r:0.00146484375, p:-0.7498779296875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
